"id","name","topo","hydro","muid","lu_mgt","soil_plant_init","surf_stor","snow","field","hyd_grp","area_ha","slp"
"    2737","hru2737","topohru2737","           hyd2737",172174,"         past_lum","       soilplant1","             null","          snow001","             null","A",0.65,0.02184
"    2738","hru2738","topohru2738","           hyd2738",167956,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.22,0.0244
"    2739","hru2739","topohru2739","           hyd2739",172136,"         past_lum","       soilplant1","             null","          snow001","             null","A",0.22,0.02017
"    2740","hru2740","topohru2740","           hyd2740",172136,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.08,0
"    2741","hru2741","topohru2741","           hyd2741",167956,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.04,0.04475
"    2742","hru2742","topohru2742","           hyd2742",172174,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.21,0.02929
"    2743","hru2743","topohru2743","           hyd2743",172151,"       SC_RT_tile","    soilnut_20-30","             null","          snow001","             null","B",0.02,0.005
"    2744","hru2744","topohru2744","           hyd2744",172142,"          SC_NTcc","    soilnut_30-40","             null","          snow001","             null","A",0.02,0.03991
"    2745","hru2745","topohru2745","           hyd2745",172136,"          SC_NTcc","    soilnut_30-40","             null","          snow001","             null","A",0.03,0.04818
"    2746","hru2746","topohru2746","           hyd2746",172142,"      CS_NT_GW_LS","    soilnut_20-30","             null","          snow001","             null","A",0.1,0.01035
"    2747","hru2747","topohru2747","           hyd2747",172136,"      CS_NT_GW_LS","    soilnut_30-40","             null","          snow001","             null","A",0.08,0.01641
"    2748","hru2748","topohru2748","           hyd2748",172174,"             CSWS","    soilnut_70-80","             null","          snow001","             null","A",0.03,0.03399
"    2749","hru2749","topohru2749","           hyd2749",172136,"      CS_NT_GW_LS","    soilnut_20-30","             null","          snow001","             null","A",3.12,0.01351
"    2750","hru2750","topohru2750","           hyd2750",172142,"          CS_RotT","    soilnut_30-40","             null","          snow001","             null","A",2.68,0.01642
"    2751","hru2751","topohru2751","           hyd2751",172174,"        SC_RotT_B","    soilnut_30-40","             null","          snow001","             null","A",1.78,0.01706
"    2752","hru2752","topohru2752","           hyd2752",172113,"          CS_RotT","    soilnut_20-30","             null","          snow001","             null","A",0.12,0.01678
"    2753","hru2753","topohru2753","           hyd2753",172174,"        SC_RotT_B","    soilnut_20-30","             null","          snow001","             null","A",0.09,0.01293
"    2754","hru2754","topohru2754","           hyd2754",172142,"          SC_NTcc","  soilnut_100-110","             null","          snow001","             null","A",0.27,0.02608
"    2755","hru2755","topohru2755","           hyd2755",172136,"        SC_RotT_B","    soilnut_30-40","             null","          snow001","             null","A",0.68,0.0154
"    2756","hru2756","topohru2756","           hyd2756",172142,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",1.24,0.01829
"    2757","hru2757","topohru2757","           hyd2757",172136,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",4.06,0.01979
"    2758","hru2758","topohru2758","           hyd2758",172170,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",1.07,0.0358
"    2759","hru2759","topohru2759","           hyd2759",172142,"      CS_NT_GW_LS","    soilnut_30-40","             null","          snow001","             null","A",0.24,0.00738
"    2760","hru2760","topohru2760","           hyd2760",172136,"        SC_RotT_B","    soilnut_80-90","             null","          snow001","             null","A",0.04,0.02189
"    2761","hru2761","topohru2761","           hyd2761",172142,"          SC_NTcc","    soilnut_20-30","             null","          snow001","             null","A",0.1,0.00868
"    2762","hru2762","topohru2762","           hyd2762",172136,"             CSWS","    soilnut_10-20","             null","          snow001","             null","A",0.02,0
"    2763","hru2763","topohru2763","           hyd2763",172136,"            CS_FT","    soilnut_20-30","             null","          snow001","             null","A",5.53,0.02304
"    2764","hru2764","topohru2764","           hyd2764",172142,"            CS_FT","    soilnut_30-40","             null","          snow001","             null","A",3.04,0.02153
"    2765","hru2765","topohru2765","           hyd2765",172174,"          SC_NT_B","    soilnut_30-40","             null","          snow001","             null","A",1.31,0.02791
"    2766","hru2766","topohru2766","           hyd2766",172136,"      CS_NT_GW_MS","    soilnut_20-30","             null","          snow001","             null","A",0.96,0.02733
"    2767","hru2767","topohru2767","           hyd2767",172142,"             CSWS","    soilnut_30-40","             null","          snow001","             null","A",0.5,0.03762
"    2768","hru2768","topohru2768","           hyd2768",172174,"      CS_NT_GW_MS","    soilnut_20-30","             null","          snow001","             null","A",0.06,0.02797
"    2769","hru2769","topohru2769","           hyd2769",172142,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.7,0.02655
"    2770","hru2770","topohru2770","           hyd2770",172136,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.41,0.01147
"    2771","hru2771","topohru2771","           hyd2771",172145,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",1.85,0.01876
